date,label,t_value,horizon,future_ret
2022-07-19 00:00:00,1,10.908047534499522,36.0,0.05151898510209141
2022-07-19 01:00:00,1,12.693177352788963,36.0,0.07458192472391256
2022-07-19 02:00:00,1,13.169662154124312,36.0,0.08132402947332107
2022-07-19 03:00:00,1,13.505288955197948,36.0,0.08801300284437219
2022-07-19 04:00:00,1,13.99474792272001,36.0,0.10679005831586008
2022-07-19 05:00:00,1,13.187222907658544,35.0,0.10414053846224247
2022-07-19 06:00:00,1,12.391451930577091,34.0,0.0996708636865089
2022-07-19 07:00:00,1,12.818083359464607,7.0,0.02010412458221622
2022-07-19 08:00:00,1,14.111102763963528,6.0,0.02116834950296198
2022-07-19 09:00:00,1,10.63958467035233,14.0,0.0755141109227726
2022-07-19 10:00:00,1,10.253573621904584,9.0,0.0711038486818083
2022-07-19 11:00:00,1,9.665419462887316,8.0,0.0653561538112315
2022-07-19 12:00:00,1,9.28072836038884,7.0,0.06467463057651379
2022-07-19 13:00:00,1,7.491379835150491,27.0,0.08940563340845142
2022-07-19 14:00:00,1,7.106897969849872,26.0,0.08564999212403523
2022-07-19 15:00:00,1,7.206698245938926,25.0,0.062856891082129
2022-07-19 16:00:00,1,6.583953433474137,24.0,0.040879906106527475
2022-07-19 17:00:00,1,6.161377354023705,23.0,0.04364943734668181
2022-07-19 18:00:00,1,5.569702091826606,22.0,0.03413743285476056
2022-07-19 19:00:00,1,5.449771024815548,21.0,0.027954624871093348
2022-07-19 20:00:00,1,5.914199317450512,20.0,0.0401976680005518
2022-07-19 21:00:00,1,5.366832361877899,19.0,0.036149649929126726
2022-07-19 22:00:00,1,4.99267744303736,18.0,0.023544936502077007
2022-07-19 23:00:00,1,5.929098026494897,17.0,0.024745009579398625
2022-07-20 00:00:00,1,7.3909337225128064,16.0,0.03086272029537951
2022-07-20 01:00:00,1,8.1444390235396,15.0,0.04805227531433842
2022-07-20 02:00:00,1,7.056121439693929,14.0,0.03721890183600629
2022-07-20 03:00:00,-1,-7.364109572893779,36.0,-0.03193022178768068
2022-07-20 04:00:00,-1,-8.235811254060343,36.0,-0.02490675419339705
2022-07-20 05:00:00,-1,-8.639685251565552,35.0,-0.023212120176951734
2022-07-20 06:00:00,-1,-9.284916067995347,34.0,-0.02816285086731718
2022-07-20 07:00:00,-1,-9.64674020339131,33.0,-0.039252744668161754
2022-07-20 08:00:00,1,9.535671783259735,8.0,0.03161216931669464
2022-07-20 09:00:00,-1,-10.472442030893902,30.0,-0.037301116858637906
2022-07-20 10:00:00,-1,-11.828536012566495,29.0,-0.043809007467396244
2022-07-20 11:00:00,-1,-12.528702675309873,28.0,-0.05110777650278053
2022-07-20 12:00:00,-1,-12.239801108859911,27.0,-0.0503493620619303
2022-07-20 13:00:00,-1,-11.919727343441572,26.0,-0.05304619205020211
2022-07-20 14:00:00,-1,-11.235488925718322,25.0,-0.052187421278025004
2022-07-20 15:00:00,-1,-10.507217401786265,24.0,-0.0632158151578529
2022-07-20 16:00:00,-1,-9.639920358134285,23.0,-0.06415560511719298
2022-07-20 17:00:00,-1,-9.182220756840373,22.0,-0.043918346603421976
2022-07-20 18:00:00,-1,-8.377405885353392,21.0,-0.045547367486460044
2022-07-20 19:00:00,-1,-7.473288141924023,20.0,-0.052660732944745936
2022-07-20 20:00:00,-1,-6.843047117649076,19.0,-0.0279368578785556
2022-07-20 21:00:00,-1,-6.789220000598342,18.0,-0.03289651242990377
2022-07-20 22:00:00,-1,-6.153988970042079,17.0,-0.04261274480699584
2022-07-20 23:00:00,-1,-5.319161059090617,16.0,-0.030408452519005258
